label,node_label,node_storey,node_space,node_cell,node_user,node_furniture,node_fan,co2_sensing,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,voc_sensing,clo,heartRate_cozie,responseSpeed_cozie,area,occupancy,x,y
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_155,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.7267456,59.0789032
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_156,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.6252441,58.24025726
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_157,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.6252441,60.92507172
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.639328,63.60897064
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6233215,25.25130844
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.645752,21.12755013
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.8122711,20.73354912
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6233215,30.08553314
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.3951874,33.43434143
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6233215,36.89851379
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6233215,41.73274231
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.3951874,45.15665817
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6233215,48.54572296
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6233215,53.37994766
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.5066986,21.12755013
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.4487305,18.82990265
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9663391,21.12755013
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.4994202,19.97872543
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.6235352,19.97872543
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.3060455,21.12755013
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.7264862,21.12755013
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.274231,18.82990265
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.2253265,21.12755013
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_159,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.46294403,47.98865891
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5817337,48.8942337
