cell_id,x,y,space
c_281,94.71934509280001,30.809597015399998,OPEN_EXHIBITION_SPACE_2
c_282,94.71934509280001,36.5205345154,OPEN_EXHIBITION_SPACE_2
c_283,94.71934509280001,42.2314720154,OPEN_EXHIBITION_SPACE_2
c_284,94.71934509280001,47.9424095154,OPEN_EXHIBITION_SPACE_2
c_285,94.71934509280001,53.6533470154,OPEN_EXHIBITION_SPACE_2
c_286,94.71934509280001,59.3642845154,OPEN_EXHIBITION_SPACE_2
c_287,94.71934509280001,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_288,94.71934509280001,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_289,94.71934509280001,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_290,94.71934509280001,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_291,92.4893722534,88.2735824585,OPEN_EXHIBITION_SPACE_2
c_292,94.8089599609,86.66854095459999,OPEN_EXHIBITION_SPACE_2
c_293,100.601745605,19.3877239227,OPEN_EXHIBITION_SPACE_2
c_294,100.601745605,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_295,100.601745605,25.0986614227,OPEN_EXHIBITION_SPACE_2
c_296,100.601745605,30.809597015399998,OPEN_EXHIBITION_SPACE_2
c_297,100.601745605,36.5205345154,OPEN_EXHIBITION_SPACE_2
c_298,100.601745605,42.2314720154,OPEN_EXHIBITION_SPACE_2
c_299,100.601745605,47.9424095154,OPEN_EXHIBITION_SPACE_2
c_300,100.601745605,53.6533470154,OPEN_EXHIBITION_SPACE_2
c_301,100.601745605,59.3642845154,OPEN_EXHIBITION_SPACE_2
c_302,100.601745605,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_303,100.601745605,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_304,100.601745605,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_305,100.601745605,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_306,97.30780029299999,88.2735748291,OPEN_EXHIBITION_SPACE_2
c_307,101.00980377200001,87.47105407709999,OPEN_EXHIBITION_SPACE_2
c_308,106.484146118,19.3877239227,OPEN_EXHIBITION_SPACE_2
c_309,106.484146118,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_310,106.484146118,25.0986614227,OPEN_EXHIBITION_SPACE_2
c_311,106.484146118,30.809597015399998,OPEN_EXHIBITION_SPACE_2
c_312,106.484146118,36.5205345154,OPEN_EXHIBITION_SPACE_2
c_313,106.484146118,42.2314720154,OPEN_EXHIBITION_SPACE_2
c_314,106.484146118,47.9424095154,OPEN_EXHIBITION_SPACE_2
c_315,106.484146118,53.6533470154,OPEN_EXHIBITION_SPACE_2
c_316,106.484146118,59.3642845154,OPEN_EXHIBITION_SPACE_2
c_317,106.484146118,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_318,106.484146118,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_319,106.484146118,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_320,106.484146118,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_321,104.98384857200001,88.2735748291,OPEN_EXHIBITION_SPACE_2
c_322,106.938598633,86.66854095459999,OPEN_EXHIBITION_SPACE_2
c_323,112.366546631,19.3877239227,OPEN_EXHIBITION_SPACE_2
c_324,112.366546631,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_325,112.366546631,25.0986614227,OPEN_EXHIBITION_SPACE_2
c_326,112.366546631,30.809597015399998,OPEN_EXHIBITION_SPACE_2
c_327,112.366546631,36.5205345154,OPEN_EXHIBITION_SPACE_2
c_328,112.366546631,42.2314720154,OPEN_EXHIBITION_SPACE_2
c_329,112.366546631,47.9424095154,OPEN_EXHIBITION_SPACE_2
c_330,112.366546631,53.6533470154,OPEN_EXHIBITION_SPACE_2
c_331,112.366546631,59.3642845154,OPEN_EXHIBITION_SPACE_2
c_332,112.366546631,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_333,112.366546631,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_334,112.366546631,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_335,112.366546631,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_336,109.802268982,88.2735748291,OPEN_EXHIBITION_SPACE_2
c_337,112.28902435299999,86.66854095459999,OPEN_EXHIBITION_SPACE_2
c_338,117.268547058,18.4359016418,OPEN_EXHIBITION_SPACE_2
c_339,118.248947144,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_340,117.268547058,60.316108703599994,OPEN_EXHIBITION_SPACE_2
c_341,118.81225585899999,57.9379577637,OPEN_EXHIBITION_SPACE_2
c_342,118.248947144,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_343,118.248947144,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_344,118.248947144,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_345,118.248947144,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_346,114.620697021,88.2735824585,OPEN_EXHIBITION_SPACE_2
c_347,117.639427185,86.66854095459999,OPEN_EXHIBITION_SPACE_2
c_348,127.072555542,14.6286087036,OPEN_EXHIBITION_SPACE_2
c_349,123.1509552,12.724963188199998,OPEN_EXHIBITION_SPACE_2
c_350,124.131347656,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_351,124.023643494,59.841606140100005,OPEN_EXHIBITION_SPACE_2
c_352,121.64575195299999,57.4634513855,OPEN_EXHIBITION_SPACE_2
c_353,124.131347656,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_354,124.131347656,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_355,124.131347656,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_356,119.43913269,88.2735748291,OPEN_EXHIBITION_SPACE_2
c_357,123.49070739700001,87.47105407709999,OPEN_EXHIBITION_SPACE_2
c_358,130.013748169,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_359,129.812988281,58.6525268555,OPEN_EXHIBITION_SPACE_2
c_360,126.18611908,57.4634513855,OPEN_EXHIBITION_SPACE_2
c_361,130.013748169,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_362,130.013748169,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_363,130.013748169,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_364,127.11517334,88.2735748291,OPEN_EXHIBITION_SPACE_2
c_365,130.718338013,87.47105407709999,OPEN_EXHIBITION_SPACE_2
c_366,135.89614868200002,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_367,136.623535156,58.6525268555,OPEN_EXHIBITION_SPACE_2
c_368,133.306045532,57.4634513855,OPEN_EXHIBITION_SPACE_2
c_369,135.89614868200002,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_370,135.89614868200002,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_371,135.89614868200002,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_372,134.79122924799998,88.2735824585,OPEN_EXHIBITION_SPACE_2
c_373,136.548309326,86.66854095459999,OPEN_EXHIBITION_SPACE_2
c_374,141.778549194,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_375,141.499420166,58.6525268555,OPEN_EXHIBITION_SPACE_2
c_376,141.778549194,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_377,141.778549194,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_378,141.778549194,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_379,140.887176514,87.47105407709999,OPEN_EXHIBITION_SPACE_2
c_380,147.66094970700001,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_381,147.448730469,59.841606140100005,OPEN_EXHIBITION_SPACE_2
c_382,144.966323853,57.4634513855,OPEN_EXHIBITION_SPACE_2
c_383,147.66094970700001,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_384,147.66094970700001,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_385,147.66094970700001,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_386,144.42808532700002,88.2735824585,OPEN_EXHIBITION_SPACE_2
c_387,147.249130249,86.66854095459999,OPEN_EXHIBITION_SPACE_2
c_388,154.093460083,2.7028281688700004,OPEN_EXHIBITION_SPACE_2
c_389,150.54730224600002,2.95748949051,OPEN_EXHIBITION_SPACE_2
c_390,149.172729492,5.07184648514,OPEN_EXHIBITION_SPACE_2
c_391,149.53009033200001,8.09498214722,OPEN_EXHIBITION_SPACE_2
c_392,153.543365479,7.96584892273,OPEN_EXHIBITION_SPACE_2
c_393,146.961914063,10.3156003952,OPEN_EXHIBITION_SPACE_2
c_394,147.66094970700001,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_395,153.543365479,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_396,152.660125732,20.733549118,OPEN_EXHIBITION_SPACE_2
c_397,154.52377319299998,18.4359016418,OPEN_EXHIBITION_SPACE_2
c_398,153.543365479,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_399,154.52377319299998,60.316108703599994,OPEN_EXHIBITION_SPACE_2
c_400,152.660125732,57.9379577637,OPEN_EXHIBITION_SPACE_2
c_401,149.506698608,57.4634513855,OPEN_EXHIBITION_SPACE_2
c_402,153.543365479,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_403,153.543365479,76.4971008301,OPEN_EXHIBITION_SPACE_2
