cell,skin_temp,heart_rate,thermal_vote
C000163-S0303,31.5,68.0,10.0
C000163-S0303,31.375,78.0,10.0
C000164-S0303,31.375,78.0,10.0
C000179-S0303,31.375,78.0,10.0
C000180-S0303,31.375,78.0,10.0
C000176-S0303,31.375,84.0,10.0
C000277-S0303,31.375,84.0,10.0
C000278-S0303,31.375,84.0,10.0
C000279-S0303,31.375,84.0,10.0
C001706-S0304,31.375,84.0,10.0
C002723-S0304,31.375,84.0,10.0
C002724-S0304,31.375,84.0,10.0
C002725-S0304,31.375,84.0,10.0
C000156-S0303,31.5,84.0,10.0
C000172-S0303,31.5,84.0,10.0
C000173-S0303,31.5,84.0,10.0
C000188-S0303,31.5,84.0,10.0
C001704-S0304,29.75,113.0,10.0
C001705-S0304,29.75,113.0,10.0
C001727-S0304,29.75,113.0,10.0
C001728-S0304,29.75,113.0,10.0
C001434-S0304,30.75,72.0,11.0
C001435-S0304,30.75,72.0,11.0
C001457-S0304,30.75,72.0,11.0
C001458-S0304,30.75,72.0,11.0
C001433-S0304,32.875,95.0,11.0
C001434-S0304,32.875,95.0,11.0
C001456-S0304,32.875,95.0,11.0
C001457-S0304,32.875,95.0,11.0
C001858-S0304,32.5,112.0,11.0
C001859-S0304,32.5,112.0,11.0
C001903-S0304,32.5,112.0,11.0
C001904-S0304,32.5,112.0,11.0
C001286-S0304,32.5,96.0,11.0
C001287-S0304,32.5,96.0,11.0
C001326-S0304,32.5,96.0,11.0
C001327-S0304,32.5,96.0,11.0
C000017-S0301,30.75,75.0,11.0
C000018-S0301,30.75,75.0,11.0
C000045-S0301,30.75,75.0,11.0
C000046-S0301,30.75,75.0,11.0
C000211-S0301,30.375,85.0,11.0
C000212-S0301,30.375,85.0,11.0
C000232-S0301,30.375,85.0,11.0
C000233-S0301,30.375,85.0,11.0
C000375-S0301,30.75,87.0,11.0
C000376-S0301,30.75,87.0,11.0
C001953-S0304,30.75,87.0,11.0
C001992-S0304,30.75,87.0,11.0
C001993-S0304,30.75,87.0,11.0
C001994-S0304,30.75,87.0,11.0
C002519-S0304,30.75,87.0,11.0
C002520-S0304,30.75,87.0,11.0
C002521-S0304,30.75,87.0,11.0
C000037-S0303,29.875,116.0,11.0
C000038-S0303,29.875,116.0,11.0
C000053-S0303,29.875,116.0,11.0
C000054-S0303,29.875,116.0,11.0
C000182-S0301,28.625,71.0,10.0
C000183-S0301,28.625,71.0,10.0
C000203-S0301,28.625,71.0,10.0
C000204-S0301,28.625,71.0,10.0
C000033-S0300,28.125,86.0,10.0
C000034-S0300,28.125,86.0,10.0
C000041-S0300,28.125,86.0,10.0
C000042-S0300,28.125,86.0,10.0
C000222-S0301,28.75,84.0,10.0
C000223-S0301,28.75,84.0,10.0
C000243-S0301,28.75,84.0,10.0
C000244-S0301,28.75,84.0,10.0
C001700-S0304,31.75,90.0,11.0
C001701-S0304,31.75,90.0,11.0
C001723-S0304,31.75,90.0,11.0
C001724-S0304,31.75,90.0,11.0
C001631-S0304,31.5,88.0,11.0
C001653-S0304,31.5,88.0,11.0
C001654-S0304,31.5,88.0,11.0
C001655-S0304,31.5,88.0,11.0
C000037-S0303,32.375,98.0,11.0
C000038-S0303,32.375,98.0,11.0
C000053-S0303,32.375,98.0,11.0
C000054-S0303,32.375,98.0,11.0
C001633-S0304,31.25,72.0,11.0
C001634-S0304,31.25,72.0,11.0
C001656-S0304,31.25,72.0,11.0
C001657-S0304,31.25,72.0,11.0
C001303-S0304,31.875,64.0,11.0
C001304-S0304,31.875,64.0,11.0
C001344-S0304,31.875,64.0,11.0
C001582-S0304,31.75,68.0,11.0
C001583-S0304,31.75,68.0,11.0
C001605-S0304,31.75,68.0,11.0
C001606-S0304,31.75,68.0,11.0
C002104-S0304,29.375,72.0,10.0
C002105-S0304,29.375,72.0,10.0
C002449-S0304,29.375,72.0,10.0
C002450-S0304,29.375,72.0,10.0
C002451-S0304,29.375,72.0,10.0
C000190-S0303,30.25,94.0,10.0
C000191-S0303,30.25,94.0,10.0
C000206-S0303,30.25,94.0,10.0
C000207-S0303,30.25,94.0,10.0
C000309-S0303,30.25,94.0,10.0
C000310-S0303,30.25,94.0,10.0
C002692-S0304,30.25,94.0,10.0
C002693-S0304,30.25,94.0,10.0
C002802-S0304,30.25,94.0,10.0
C000270-S0303,30.5,93.0,10.0
C001545-S0304,30.5,93.0,10.0
C001567-S0304,30.5,93.0,10.0
C001568-S0304,30.5,93.0,10.0
C002732-S0304,30.5,93.0,10.0
C000084-S0304,28.375,64.0,9.0
C000085-S0304,28.375,64.0,9.0
C000093-S0304,28.375,64.0,9.0
C000094-S0304,28.375,64.0,9.0
C002667-S0304,28.375,64.0,9.0
C002668-S0304,28.375,64.0,9.0
C001187-S0304,27.875,111.0,10.0
C001188-S0304,27.875,111.0,10.0
C001189-S0304,27.875,111.0,10.0
C001228-S0304,27.875,111.0,10.0
C000145-S0301,29.125,70.0,11.0
C000146-S0301,29.125,70.0,11.0
C000166-S0301,29.125,70.0,11.0
C000064-S0303,28.75,92.0,11.0
C000065-S0303,28.75,92.0,11.0
